Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Peptic Ulcers,पेप्टिक अल्सर,पेप्टिक अल्सर,"Abdominal pain, bloating, nausea","Endoscopy, Blood Tests",Moderate to Severe,4-8 weeks,"Stress, H. pylori infection","Antacids, Antibiotics","H. pylori Infection, Stress, Alcohol","Stress, Spicy food, Smoking",Irregular sleep,High stress,Low,Family history of ulcers,"Low-fat, Non-spicy diet","Alcohol, Smoking",All seasons,Adults,Both genders,Requires digestive care,Avoids spicy foods,"Ginger, Licorice",None specific,Licorice root (2g daily),Pitta,Pitta,"Avoid spicy foods, consume soothing herbs like licorice, and manage stress levels.",None specific,"Proton Pump Inhibitors, Antacids","Avoid Spicy Foods, Reduce Stress",Can Be Managed with Medication,"Bleeding, Perforation","Avoid Alcohol, Regular Meals",Research on Peptic Ulcers Treatment
Pneumonia,निमोनिया,निमोनिया,"Cough, fever, shortness of breath, chest pain","Chest X-ray, Blood Tests, Sputum Test",Severe,1-2 weeks,"Respiratory infections, Smoking","Antibiotics, Oxygen therapy","Smoking, Elderly, Weakened Immune System","Respiratory infections, Smoking",Irregular sleep,High stress,Low,Family history of lung disease,"Low-sodium, Balanced diet",Smoking,All seasons,All ages,Both genders,Requires respiratory care,Avoids smoking,"Echinacea, Ginger",None specific,"Ginger (2g), Honey (1 tsp)",Vata,Vata,"Stay hydrated, consume warm fluids, and rest in an elevated position to ease breathing.",None specific,"Antibiotics, Oxygen Therapy","Vaccination, Good Hygiene",Can Be Managed with Treatment,"Respiratory Failure, Sepsis","Regular Monitoring, Pneumococcal Vaccination",Research on Pneumonia Treatment
Polycythemia Vera,पॉलीसाइथेमिया वीरा,पॉलीसाइथेमिया वीरा,"Headache, dizziness, fatigue, high red blood cell count","Blood Tests, Bone Marrow Biopsy",Moderate to Severe,Lifelong,"Blood disorders, Bone marrow issues","Hydroxyurea, Aspirin","Age, Family History, Radiation Exposure","Smoking, High altitudes",Irregular sleep,High stress,Low,Family history of blood disorders,"Low-sodium, Balanced diet",None,All seasons,Adults,Both genders,Requires monitoring,Avoids high-fat foods,None specific,None specific,Triphala (1 tsp at bedtime),Pitta,Pitta,"Maintain hydration, avoid iron-rich foods, and follow doctor’s treatment plan.",None specific,"Phlebotomy, Medications","Early Diagnosis, Regular Monitoring",Can Be Managed with Treatment,"Blood Clots, Stroke, Heart Attack","Regular Monitoring, Blood Thinning",Research on Polycythemia Vera Treatment
Post-Traumatic Stress Disorder (PTSD),पोस्ट-ट्रॉमैटिक स्ट्रेस डिसऑर्डर,पोस्ट-ट्रॉमैटिक स्ट्रेस डिसऑर्डर,"Flashbacks, nightmares, anxiety, depression","Psychological Evaluation, PTSD Checklist",Severe,Lifelong,"Trauma, Anxiety disorders","Antidepressants, Therapy","Trauma, Abuse, Genetics","Stressful events, Trauma",Disrupted sleep,High stress,Low,Family history of mental health disorders,"Balanced, Nutrient-rich diet",None,All seasons,Adults,Both genders,Requires psychological support,Avoids stressors,None specific,None specific,Brahmi (2g daily),Vata,Vata,"Engage in mindfulness techniques, consume calming foods like chamomile, and seek therapy.",None specific,"Therapy (CBT), Medications","Therapy, Stress Management",Can Be Managed with Therapy,"Depression, Anxiety, Substance Abuse","Regular Therapy, Stress Management",Research on PTSD Treatment
Prostate Enlargement (Benign Prostatic Hyperplasia),प्रोस्टेट enlargement (बिनाइन प्रोस्टेट हाइपरप्लासिया),प्रोस्टेट enlargement (बिनाइन प्रोस्टेट हाइपरप्लासिया),"Frequent urination, difficulty urinating, weak stream","Physical Exam, Urine Tests, Ultrasound",Moderate to Severe,Lifelong,"Aging, Urinary issues","Alpha-blockers, 5-alpha reductase inhibitors","Aging, Family History","Aging, Obesity, Family history",Irregular sleep,Moderate stress,Moderate,Family history of prostate issues,"Low-fat, Balanced diet",None,All seasons,Adults (Older Men),Male,Requires monitoring,Avoids alcohol and caffeine,"Saw Palmetto, Pygeum",None specific,Saw palmetto (2g daily),Vata,Vata,"Avoid caffeine, practice relaxation techniques, and eat a diet rich in antioxidants.",None specific,"Medications, Surgery","Healthy Diet, Regular Monitoring",Can Be Managed with Treatment,"Urinary Retention, Bladder Damage","Regular Monitoring, Healthy Lifestyle",Research on Prostate Enlargement Treatment
Psoriatic Arthritis,सोरियाटिक आर्थराइटिस,सोरियाटिक आर्थराइटिस,"Joint pain, swelling, skin rashes, stiffness","Physical Exam, Blood Tests, Imaging",Severe,Lifelong,"Autoimmune disorders, Joint pain","NSAIDs, Methotrexate","Genetics, Infections, Stress","Stress, Infection, Obesity",Irregular sleep,High stress,Low,Family history of autoimmune diseases,"Low-sodium, Balanced diet",None,All seasons,Adults,Both genders,Requires joint care,Avoids high-sugar foods,"Turmeric, Fish Oil","Ashwagandha, Turmeric",Turmeric (1 tsp daily),Pitta,Pitta,"Avoid cold weather exposure, consume anti-inflammatory foods, and engage in regular stretching.","Physical Therapy, Stress Management","Medications (NSAIDs, DMARDs)","Healthy Diet, Stress Management",Can Be Managed with Medication,"Joint Damage, Disability","Regular Monitoring, Healthy Lifestyle",Research on Psoriatic Arthritis Treatment
Raynaud's Disease,रेयानॉड्स रोग,रेयानॉड्स रोग,"Color changes in fingers and toes, coldness, numbness","Physical Exam, Blood Tests, Nailfold Capillary Examination",Moderate to Severe,Lifelong,"Blood flow issues, Cold exposure","Calcium channel blockers, Vasodilators","Cold Exposure, Stress, Smoking","Cold weather, Stress",Irregular sleep,High stress,Low,Family history of blood disorders,"Low-sodium, Balanced diet",None,Cold seasons,Adults,Both genders,Requires warmth and care,Avoids cold exposure,"Garlic, Ginkgo Biloba",None specific,"Ginger (2g), Honey (1 tsp)",Vata,Vata,"Avoid cold environments, wear warm clothing, and consume foods that improve circulation.",None specific,"Medications (Vasodilators, Calcium Channel Blockers)","Keep Warm, Avoid Stress",Can Be Managed with Medication,"Tissue Damage, Ulcers, Infection","Avoid Cold Exposure, Stress Management",Research on Raynaud's Disease Treatment
Rheumatoid Arthritis,रूमेटॉयड आर्थराइटिस,रूमेटॉयड आर्थराइटिस,"Joint pain, swelling, stiffness, fatigue","Blood Tests, Imaging, Physical Exam",Severe,Lifelong,"Autoimmune disorders, Joint pain",Disease-modifying antirheumatic drugs (DMARDs),"Genetics, Smoking, Infections","Stress, Family history",Irregular sleep,High stress,Low,Family history of rheumatoid arthritis,"Low-sodium, Balanced diet",None,All seasons,Adults,Both genders,Requires joint care,Avoids smoking,"Turmeric, Ginger, Fish Oil","Ashwagandha, Turmeric",Ashwagandha (5g daily),Vata,Vata,"Engage in gentle exercise like yoga, avoid excessive rest, and include anti-inflammatory foods.","Physical Therapy, Regular Exercise","Medications (DMARDs, Biologics, NSAIDs)","Healthy Diet, Stress Management",Can Be Managed with Medication,"Joint Deformity, Organ Damage","Regular Exercise, Stress Management",Research on Rheumatoid Arthritis Treatment
Sciatica,सायटिका,सायटिका,"Lower back pain, pain radiating down the leg","Physical Exam, MRI, X-rays",Moderate to Severe,Weeks to Months,"Back pain, Nerve compression","Pain relievers, Physical therapy","Poor Posture, Spinal Abnormalities","Sedentary lifestyle, Heavy lifting",Irregular sleep,Moderate stress,Low,Family history of back issues,"Low-sodium, Balanced diet",None,All seasons,Adults,Both genders,Requires posture correction,Avoids heavy lifting,None specific,None specific,Ashwagandha (5g daily),Vata,Vata,"Engage in gentle stretching exercises, avoid sitting for long periods, and sleep in a neutral position.","Physical Therapy, Stretching","Pain Relievers, Physical Therapy","Proper Posture, Regular Exercise",Can Be Managed with Treatment,"Nerve Damage, Chronic Pain","Posture Correction, Regular Movement",Research on Sciatica Treatment
Sinusitis,साइनसाइटिस,साइनसाइटिस,"Nasal congestion, facial pain, headache","Physical Exam, Nasal Endoscopy, Imaging",Moderate to Severe,Weeks to Months,"Respiratory issues, Allergies","Nasal decongestants, Antibiotics","Allergies, Infection, Pollution","Allergies, Respiratory infections",Irregular sleep,Moderate stress,Low,Family history of sinus issues,"Low-sodium, Balanced diet","Allergies (dust, pollen)",All seasons,All ages,Both genders,Requires nasal care,Avoids allergens,"Eucalyptus, Ginger, Peppermint",None specific,Eucalyptus oil (2-3 drops in water),Vata,Vata,"Stay hydrated, practice steam inhalation, and avoid allergens.",None specific,"Antibiotics, Decongestants, Nasal Sprays","Avoid Allergens, Stay Hydrated",Can Be Managed with Medication,"Chronic Infections, Asthma","Regular Hydration, Avoid Triggers",Research on Sinusitis Treatment
Skin Infections,त्वचा संक्रमण,त्वचा संक्रमण,"Redness, swelling, pus, pain","Physical Exam, Cultures, Blood Tests",Moderate to Severe,Weeks to Months,Bacterial or fungal infections,"Antibiotics, Antifungals","Poor Hygiene, Weakened Immune System","Poor hygiene, Cuts, Allergies",Irregular sleep,Moderate stress,Low,Family history of skin infections,"Low-sodium, Balanced diet","Allergies (food, environment)",All seasons,All ages,Both genders,Requires skin care,Avoids harsh chemicals,"Aloe Vera, Tea Tree Oil","Aloe Vera, Tea Tree Oil","Neem leaves (5-6), Water (as needed)",Pitta,Pitta,"Apply neem paste, avoid harsh chemicals, and keep the skin clean and dry.",None specific,"Antibiotics, Antifungals","Proper Hygiene, Wound Care",Can Be Managed with Medication,"Scarring, Spreading Infections","Maintain Hygiene, Treat Wounds Promptly",Research on Skin Infections Treatment
Sleep Apnea,स्लीप एपनिया,स्लीप एपनिया,"Loud snoring, interrupted breathing, fatigue","Sleep Study, Polysomnography",Severe,Lifelong,"Obesity, Breathing disorders","CPAP, Surgery","Obesity, Alcohol, Smoking","Obesity, Smoking, Alcohol use",Disrupted sleep,High stress,Low,Family history of sleep disorders,"Low-fat, Balanced diet","Alcohol, Smoking",All seasons,Adults,Both genders,Requires sleep monitoring,Avoids alcohol and smoking,None specific,None specific,Ashwagandha (5g daily),Vata,Vata,"Maintain a regular sleep schedule, sleep on your side, and avoid heavy meals before bedtime.","CPAP Therapy, Sleep Hygiene","CPAP, Surgery, Medications","Weight Loss, Avoid Alcohol",Can Be Managed with Treatment,"Heart Disease, Stroke","Regular Sleep, Healthy Weight",Research on Sleep Apnea Treatment
Spinal Cord Injury,रीढ़ की हड्डी की चोट,स्पाइनल कॉर्ड इंजुरी,"Loss of movement, pain, numbness, paralysis","Physical Exam, Imaging (MRI, CT)",Severe,Lifelong,"Trauma, Accident, Paralysis","Pain relievers, Muscle relaxants","Trauma, Accidents, Genetic Conditions","Trauma, Accident, High-risk activities",Irregular sleep,High stress,Low,Family history of spinal disorders,"Low-sodium, Balanced diet",None,All seasons,Adults,Both genders,Requires rehabilitation,Avoids physical strain,None specific,None specific,Ashwagandha (5g daily),Vata,Vata,"Focus on rehabilitation, maintain a nutritious diet to support nerve health, and practice gentle exercises.","Physical Therapy, Occupational Therapy","Surgery, Rehabilitation","Safety Precautions, Proper Posture",Depends on Severity,"Paralysis, Respiratory Issues","Rehabilitation, Assistive Devices",Research on Spinal Cord Injury Treatment
Spondylosis,स्पोंडिलोसिस,स्पॉन्डिलोसिस,"Neck or back pain, stiffness, muscle weakness","X-ray, MRI, Physical Exam",Moderate to Severe,Lifelong,"Aging, Wear and tear of spine","Pain relievers, Muscle relaxants","Aging, Poor Posture, Injury","Aging, Sedentary lifestyle",Irregular sleep,Moderate stress,Low,Family history of spinal issues,"Low-sodium, Balanced diet",None,All seasons,Adults (Older),Both genders,Requires posture correction,Avoids heavy lifting,None specific,None specific,Turmeric (1 tsp daily),Vata,Vata,"Maintain a good posture, engage in back-strengthening exercises, and apply warm compresses.","Physical Therapy, Stretching","Pain Relievers, Physical Therapy","Proper Posture, Regular Exercise",Can Be Managed with Medication,"Chronic Pain, Disability","Regular Exercise, Proper Posture",Research on Spondylosis Treatment
Stomach Cancer,पेट का कैंसर,पोटापट्टा कॅन्सर,"Abdominal pain, weight loss, nausea, loss of appetite","Endoscopy, Biopsy, Imaging",Severe,Months to Years,"Smoking, Alcohol, Poor diet","Chemotherapy, Surgery","Smoking, Alcohol, H. pylori Infection","Smoking, Alcohol use, Poor diet",Irregular sleep,High stress,Low,Family history of cancer,"Low-fat, High-fiber diet",None,All seasons,Adults,Both genders,Requires monitoring,Avoids alcohol and smoking,None specific,None specific,"Ginger (2g), Honey (1 tsp)",Pitta,Pitta,"Consume small, frequent meals, avoid processed foods, and follow cancer treatment guidelines.",None specific,"Surgery, Chemotherapy, Radiation","Healthy Diet, Avoid Smoking","Depends on Stage, Can Be Aggressive","Organ Damage, Metastasis","Early Detection, Healthy Lifestyle",Research on Stomach Cancer Treatment
Strep Throat,गले में संक्रमण (स्ट्रेप),गळ्यातील संक्रमण (स्ट्रेप),"Sore throat, fever, swollen lymph nodes","Throat Culture, Rapid Antigen Test",Moderate,Days to Weeks,Bacterial infection,Antibiotics,"Close Contact, Weakened Immune System","Poor hygiene, Close contact",Regular sleep,Moderate stress,Low,Family history of infections,"Low-sodium, Balanced diet",None,All seasons,All ages,Both genders,Requires antibiotic treatment,Avoids cold food,"Honey, Warm Salt Water Gargle",None specific,"Honey (1 tsp), Lemon (1 tbsp)",Pitta,Pitta,"Stay hydrated, avoid irritants like smoke, and rest your voice.",None specific,Antibiotics,"Proper Hygiene, Avoid Infected Individuals",Can Be Managed with Medication,"Kidney Disease, Rheumatic Fever","Rest, Hydration, Medication Adherence",Research on Strep Throat Treatment
Stress,तनाव,तणाव,"Anxiety, fatigue, headaches, irritability","Psychological Evaluation, Self-Reported Symptoms",Moderate to Severe,Chronic or Intermittent,"Mental health issues, Work pressure",Stress management techniques,"Work Pressure, Family Issues, Lifestyle","Work, Personal life",Disrupted sleep,High stress,Low,Family history of mental health issues,"Low-sodium, Balanced diet",None,All seasons,All ages,Both genders,Requires relaxation techniques,Avoids stressors,"Meditation, Aromatherapy","Ashwagandha, Brahmi",Ashwagandha (5g daily),Vata,Vata,"Practice relaxation techniques like yoga and deep breathing, eat nutrient-dense foods, and engage in regular physical activity.","Relaxation Techniques, Yoga","Stress Management Techniques, Therapy","Regular Exercise, Relaxation Techniques",Can Be Managed with Therapy,"Anxiety, Depression, Heart Disease","Stress Management, Healthy Lifestyle",Research on Stress Management
